latitude, longitude, E-density
-81.5, -30, 85144512882.09436
-81.5, -25, 84269163950.33824
-81.5, -20, 83326635416.09694
-81.5, -15, 82353003938.33665
-81.5, -10, 81408974712.68118
-81.5, -5, 80546693705.71391
-81.5, 0, 79823245183.65964
-81.5, 5, 79381577315.01143
-81.5, 10, 78982490088.29515
-81.5, 15, 78273525136.60011
-81.5, 20, 77774581809.60258
-81.5, 25, 77995424639.64622
-81.5, 30, 78465249148.56622
-81.5, 35, 78844957710.57265
-81.5, 40, 79292072759.70517
-81.5, 45, 79803194668.05344
-81.5, 50, 80439139943.16429
-81.5, 55, 81324146770.5381
-81.5, 60, 82230384914.93008
-81.5, 65, 82951553102.07263
-81.5, 70, 83572761721.60089
-81.5, 75, 84215394687.85512
-81.5, 80, 84574340585.30316
-81.5, 85, 84258868332.86577
-81.5, 90, 83663322384.0405
-81.5, 95, 83193505723.86818
-81.5, 100, 82598767383.54288
-81.5, 105, 81789431698.85257
-81.5, 110, 80714912357.16058
-81.5, 115, 79259321033.23979
-81.5, 120, 77577094027.77608
-81.5, 125, 75812434275.872
-81.5, 130, 73932681716.81017
-81.5, 135, 71893240493.32957
-81.5, 140, 69890091396.81151
-81.5, 145, 68146512289.01006
-81.5, 150, 66515600602.17187
-81.5, 155, 64854261427.80781
-81.5, 160, 63376159412.2897
-81.5, 165, 62321026062.21058
-81.5, 170, 61392679538.42136
-81.5, 175, 60271862487.63422
-81.5, 180, 59342734589.03042
-79.0, -180, 57117884579.44427
-79.0, -175, 56426137635.92619
-79.0, -170, 56128939206.36727
-79.0, -165, 56152887669.51158
-79.0, -160, 56458018546.97487
-79.0, -155, 56963494520.20469
-79.0, -150, 57749124689.49941
-79.0, -145, 58868023537.685165
-79.0, -140, 60271493340.148605
-79.0, -135, 61945537349.3612
-79.0, -130, 63840189650.818054
-79.0, -125, 65879169302.30707
-79.0, -120, 68126873110.921104
-79.0, -115, 70644543775.57996
-79.0, -110, 73311780689.07346
-79.0, -105, 76003858599.68137
-79.0, -100, 78769624527.24042
-79.0, -95, 81658876709.64075
-79.0, -90, 84514770847.51262
-79.0, -85, 87180970829.67651
-79.0, -80, 89672407665.61711
-79.0, -75, 92039487109.59325
-79.0, -70, 94044098380.8898
-79.0, -65, 95332301614.39838
-79.0, -60, 96221113783.43059
-79.0, -55, 97232248165.64973
-79.0, -50, 97862073896.46713
-79.0, -45, 97642569395.83543
-79.0, -40, 96884252006.8743
-79.0, -35, 95831592887.09767
-79.0, -30, 94462962620.28963
-79.0, -25, 92830354516.43904
-79.0, -20, 91022254455.17665
-79.0, -15, 89140447478.15799
-79.0, -10, 87242234640.49353
-79.0, -5, 85404126166.19995
-79.0, 0, 83686949103.84889
-79.0, 5, 82177489391.63304
-79.0, 10, 80880597304.92738
-79.0, 15, 79700392729.99684
-79.0, 20, 79003002129.69945
-79.0, 25, 79156067218.59175
-79.0, 30, 79735376234.64337
-79.0, 35, 80411007360.8275
-79.0, 40, 81390005454.14781
-79.0, 45, 82754315118.13564
-79.0, 50, 84307115410.2039
-79.0, 55, 85896275829.48135
-79.0, 60, 87494098039.3504
-79.0, 65, 89050338202.47935
-79.0, 70, 90487170652.84776
-79.0, 75, 91793452292.00328
-79.0, 80, 92754554998.77237
-79.0, 85, 93093924422.40599
-79.0, 90, 92994145220.51837
-79.0, 95, 92705829407.94342
-79.0, 100, 92040667056.4069
-79.0, 105, 90884945103.2165
-79.0, 110, 89285440717.35422
-79.0, 115, 87256284410.89333
-79.0, 120, 84875567785.38965
-79.0, 125, 82252549762.7203
-79.0, 130, 79409774263.99619
-79.0, 135, 76320101344.0135
-79.0, 140, 73251696472.76353
-79.0, 145, 70531916988.67842
-79.0, 150, 67982713881.46327
-79.0, 155, 65414639397.814514
-79.0, 160, 63125501479.7043
-79.0, 165, 61429593752.97607
-79.0, 170, 59972986607.55458
-79.0, 175, 58399784708.62527
-79.0, 180, 57117884579.44282
-76.5, -180, 54279480846.027954
-76.5, -175, 53205348882.58543
-76.5, -170, 52626187395.21312
-76.5, -165, 52661115592.38176
-76.5, -160, 53035021556.265564
-76.5, -155, 53485676497.31165
-76.5, -150, 54295065950.49649
-76.5, -145, 55648773749.82463
-76.5, -140, 57381037316.23086
-76.5, -135, 59442986316.98881
-76.5, -130, 61756488322.33185
-76.5, -125, 64202894930.17432
-76.5, -120, 66966237148.53766
-76.5, -115, 70179765145.2022
-76.5, -110, 73619145490.00313
-76.5, -105, 77118564216.34802
-76.5, -100, 80780784509.38155
-76.5, -95, 84645107297.5926
-76.5, -90, 88479795961.46867
-76.5, -85, 92131993354.8047
-76.5, -80, 95580139855.4052
-76.5, -75, 98767561103.5213
-76.5, -70, 101553269275.94284
-76.5, -65, 103781265691.93805
-76.5, -60, 105427119008.68373
-76.5, -55, 106650127522.81001
-76.5, -50, 107269957785.1412
-76.5, -45, 107100156351.37341
-76.5, -40, 106223817415.40222
-76.5, -35, 104771813190.02364
-76.5, -30, 102776290380.24025
-76.5, -25, 100308523092.4199
-76.5, -20, 97486631580.06946
-76.5, -15, 94456698141.17389
-76.5, -10, 91302189327.98836
-76.5, -5, 88153779520.81685
-76.5, 0, 85048638924.16737
-76.5, 5, 81950237813.09967
-76.5, 10, 79289033561.90591
-76.5, 15, 77507855190.15002
-76.5, 20, 76474950921.01772
-76.5, 25, 76115848554.4644
-76.5, 30, 76526908219.25471
-76.5, 35, 77668534008.14235
-76.5, 40, 79470139882.59842
-76.5, 45, 81810074471.9563
-76.5, 50, 84441424447.71289
-76.5, 55, 87190777699.9325
-76.5, 60, 89971852058.99341
-76.5, 65, 92671300923.58423
-76.5, 70, 95178124897.18887
-76.5, 75, 97404761085.79901
-76.5, 80, 99212798501.73834
-76.5, 85, 100504026992.03264
-76.5, 90, 101207493597.39365
-76.5, 95, 101291891087.7986
-76.5, 100, 100713075779.94054
-76.5, 105, 99451865110.85313
-76.5, 110, 97517656319.90773
-76.5, 115, 94912937481.79654
-76.5, 120, 91770597492.41624
-76.5, 125, 88335346437.27614
-76.5, 130, 84617873702.06274
-76.5, 135, 80560806698.83965
-76.5, 140, 76463363027.44179
-76.5, 145, 72682460182.1197
-76.5, 150, 69104720851.48233
-76.5, 155, 65570472326.98885
-76.5, 160, 62389340827.28768
-76.5, 165, 59861712661.28304
-76.5, 170, 57742732466.338585
-76.5, 175, 55817618234.39296
-76.5, 180, 54279480846.0258
-74.0, -180, 51179842645.17612
-74.0, -175, 49907094988.332954
-74.0, -170, 49148529053.33869
-74.0, -165, 48971225113.27827
-74.0, -160, 49193981395.81204
-74.0, -155, 49609065964.24718
-74.0, -150, 50464947275.97207
-74.0, -145, 51923808380.389915
-74.0, -140, 53806347986.19086
-74.0, -135, 56052147517.83161
-74.0, -130, 58598892697.43548
-74.0, -125, 61331281818.85171
-74.0, -120, 64472203462.08778
-74.0, -115, 68082054088.45522
-74.0, -110, 71996678759.21133
-74.0, -105, 76182800350.60086
-74.0, -100, 80641656159.33704
-74.0, -95, 85227224291.16971
-74.0, -90, 89828970964.19012
-74.0, -85, 94404281968.3276
-74.0, -80, 98810996243.5629
-74.0, -75, 102874609396.7308
-74.0, -70, 106538006262.16626
-74.0, -65, 109809200397.12277
-74.0, -60, 112379206264.4662
-74.0, -55, 113976504238.59737
-74.0, -50, 114751876362.85915
-74.0, -45, 114801932170.22978
-74.0, -40, 113979184569.99709
-74.0, -35, 112272074494.97955
-74.0, -30, 109761196535.59064
-74.0, -25, 106551886269.44106
-74.0, -20, 102751555438.45555
-74.0, -15, 98432469877.98149
-74.0, -10, 93781784983.48003
-74.0, -5, 89124168003.57918
-74.0, 0, 84447059030.83307
-74.0, 5, 79573668884.27711
-74.0, 10, 75249501262.89134
-74.0, 15, 72438581355.73537
-74.0, 20, 70706134892.14612
-74.0, 25, 69727542948.34853
-74.0, 30, 69926949685.24284
-74.0, 35, 71416249025.35188
-74.0, 40, 73971379887.60652
-74.0, 45, 77353903619.21893
-74.0, 50, 81284426680.17981
-74.0, 55, 85568004783.78577
-74.0, 60, 89937927626.73607
-74.0, 65, 94156571661.05482
-74.0, 70, 98032441901.12552
-74.0, 75, 101295114984.93504
-74.0, 80, 104002697502.53123
-74.0, 85, 106301327647.81366
-74.0, 90, 107900478011.90479
-74.0, 95, 108588905851.22887
-74.0, 100, 108381503781.20479
-74.0, 105, 107261856695.34865
-74.0, 110, 105185546159.97137
-74.0, 115, 102192892740.25708
-74.0, 120, 98403197394.4791
-74.0, 125, 94047956699.47774
-74.0, 130, 89283471116.50359
-74.0, 135, 84190865576.1073
-74.0, 140, 79027016425.3888
-74.0, 145, 74097194523.97781
-74.0, 150, 69427682387.30292
-74.0, 155, 64953412828.72983
-74.0, 160, 60961900351.13235
-74.0, 165, 57733802835.27686
-74.0, 170, 55090065489.8019
-74.0, 175, 52891446193.92598
-74.0, 180, 51179842645.176125
-71.5, -180, 48351243652.43385
-71.5, -175, 46978867414.055374
-71.5, -170, 46034734746.9252
-71.5, -165, 45376737612.7589
-71.5, -160, 45199144458.318665
-71.5, -155, 45637183039.63602
-71.5, -150, 46580242850.19744
-71.5, -145, 47992229021.46588
-71.5, -140, 49832081624.936935
-71.5, -135, 52076593286.441925
-71.5, -130, 54700755852.3175
-71.5, -125, 57684547590.22007
-71.5, -120, 61095685342.97189
-71.5, -115, 64927341574.56321
-71.5, -110, 69065611146.62741
-71.5, -105, 73568163371.26454
-71.5, -100, 78459548893.94063
-71.5, -95, 83773315903.50887
-71.5, -90, 89285489720.3651
-71.5, -85, 94495047803.71455
-71.5, -80, 99450319718.0041
-71.5, -75, 104388585210.47806
-71.5, -70, 108976554219.56789
-71.5, -65, 112887800922.47456
-71.5, -60, 116110366913.50671
-71.5, -55, 118630863260.09749
-71.5, -50, 120217240966.03905
-71.5, -45, 120709465963.5168
-71.5, -40, 120085495836.8206
-71.5, -35, 118351093839.98819
-71.5, -30, 115545728202.14719
-71.5, -25, 111748208835.47098
-71.5, -20, 107171049380.05055
-71.5, -15, 101815504133.13603
-71.5, -10, 95719729657.77838
-71.5, -5, 89483797577.71579
-71.5, 0, 83174238372.0639
-71.5, 5, 76471713679.57663
-71.5, 10, 70452594004.10507
-71.5, 15, 66607797312.41271
-71.5, 20, 64298069200.74667
-71.5, 25, 62847442646.60238
-71.5, 30, 62698654031.79996
-71.5, 35, 64071210787.68243
-71.5, 40, 66805467440.57757
-71.5, 45, 70890967929.9528
-71.5, 50, 76177476582.479
-71.5, 55, 82118779441.58717
-71.5, 60, 88158543513.19292
-71.5, 65, 93929704317.62343
-71.5, 70, 99218465926.5511
-71.5, 75, 103738579636.23608
-71.5, 80, 107643835050.70367
-71.5, 85, 111245357537.40688
-71.5, 90, 113960844102.48198
-71.5, 95, 115231734634.78581
-71.5, 100, 115388723425.95583
-71.5, 105, 114653418648.71643
-71.5, 110, 112640188233.52406
-71.5, 115, 109285621701.23442
-71.5, 120, 104880826429.77858
-71.5, 125, 99622742482.84584
-71.5, 130, 93728356277.64134
-71.5, 135, 87500345224.88503
-71.5, 140, 81202777062.59706
-71.5, 145, 75067213412.43312
-71.5, 150, 69286820373.24283
-71.5, 155, 63954181456.44438
-71.5, 160, 59309941812.2034
-71.5, 165, 55605259982.75276
-71.5, 170, 52658944966.62781
-71.5, 175, 50259307447.21838
-71.5, 180, 48351243652.43313
-69.0, -180, 45704649488.65498
-69.0, -175, 44232872413.48739
-69.0, -170, 43165705490.88961
-69.0, -165, 42190932685.622055
-69.0, -160, 41736109953.597015
-69.0, -155, 42131297426.93761
-69.0, -150, 43045121170.925415
-69.0, -145, 44314248686.195015
-69.0, -140, 45999985686.67628
-69.0, -135, 48111133743.78664
-69.0, -130, 50654412324.08437
-69.0, -125, 53637400562.60911
-69.0, -120, 57054328755.40929
-69.0, -115, 60907438175.815865
-69.0, -110, 65199564798.73157
-69.0, -105, 69874173246.01465
-69.0, -100, 74866069965.84631
-69.0, -95, 80484324969.74997
-69.0, -90, 86483203772.73938
-69.0, -85, 92212034406.45766
-69.0, -80, 97777459221.46672
-69.0, -75, 103579583804.42589
-69.0, -70, 109034482136.67137
-69.0, -65, 113336557964.15117
-69.0, -60, 117010069268.50566
-69.0, -55, 120697426021.34477
-69.0, -50, 123552350754.3681
-69.0, -45, 125014029570.38707
-69.0, -40, 124992345407.81665
-69.0, -35, 123329811052.5818
-69.0, -30, 120369825642.36462
-69.0, -25, 116299776076.2691
-69.0, -20, 111194584433.64865
-69.0, -15, 105073600477.4109
-69.0, -10, 97877019093.93524
-69.0, -5, 90095803755.7381
-69.0, 0, 82028562292.85593
-69.0, 5, 73742373360.73662
-69.0, 10, 66570507061.36586
-69.0, 15, 62026734961.59832
-69.0, 20, 59447038254.45744
-69.0, 25, 57941661158.93538
-69.0, 30, 57602804098.18767
-69.0, 35, 58573228895.40445
-69.0, 40, 60785019968.233894
-69.0, 45, 64521931025.83226
-69.0, 50, 70364435646.48067
-69.0, 55, 77692990139.52104
-69.0, 60, 85352133183.72052
-69.0, 65, 92594005737.73099
-69.0, 70, 99226293728.73265
-69.0, 75, 105211398924.54445
-69.0, 80, 110576466246.65773
-69.0, 85, 115532682763.252
-69.0, 90, 119419131439.99602
-69.0, 95, 121418554573.846
-69.0, 100, 122059748143.62279
-69.0, 105, 121788275620.61354
-69.0, 110, 119935453694.45386
-69.0, 115, 116253626253.3086
-69.0, 120, 111211712013.49573
-69.0, 125, 105097541818.6809
-69.0, 130, 98121921932.18425
-69.0, 135, 90645720253.80481
-69.0, 140, 83059513516.72505
-69.0, 145, 75740691300.39325
-69.0, 150, 68993143044.95801
-69.0, 155, 63053832238.3031
-69.0, 160, 58028624211.35622
-69.0, 165, 53942355096.74487
-69.0, 170, 50557036556.59497
-69.0, 175, 47818163597.19498
-69.0, 180, 45704649488.65433
-66.5, -180, 43501298933.70734
-66.5, -175, 41784991897.13684
-66.5, -170, 40571347515.74248
-66.5, -165, 39677154157.66952
-66.5, -160, 39272640904.95873
-66.5, -155, 39504439748.11446
-66.5, -150, 40192873269.38969
-66.5, -145, 41244880594.0867
-66.5, -140, 42698104274.622665
-66.5, -135, 44563880522.16022
-66.5, -130, 46860789692.729774
-66.5, -125, 49609865109.83192
-66.5, -120, 52811011423.22306
-66.5, -115, 56484703068.89685
-66.5, -110, 60668347923.73361
-66.5, -105, 65354828728.78338
-66.5, -100, 70462725557.72356
-66.5, -95, 75606270327.94994
-66.5, -90, 81022339448.05782
-66.5, -85, 87306676211.27345
-66.5, -80, 94021341159.32558
-66.5, -75, 100628563007.84137
-66.5, -70, 106800898815.7139
-66.5, -65, 111748931134.54001
-66.5, -60, 116104955449.77513
-66.5, -55, 120657178205.26721
-66.5, -50, 124668249560.87195
-66.5, -45, 127896294666.75433
-66.5, -40, 129243823689.07191
-66.5, -35, 127701542878.05457
-66.5, -30, 124669930825.3201
-66.5, -25, 120860503512.93716
-66.5, -20, 115457259825.00017
-66.5, -15, 108493511658.70877
-66.5, -10, 100501690727.77711
-66.5, -5, 91361951810.34369
-66.5, 0, 81362093030.5622
-66.5, 5, 72069412373.80971
-66.5, 10, 64586061961.16937
-66.5, 15, 59358907721.87883
-66.5, 20, 56531976943.26837
-66.5, 25, 55307339044.12178
-66.5, 30, 55049491793.018394
-66.5, 35, 55649543264.607155
-66.5, 40, 57164495691.99795
-66.5, 45, 59965007781.3055
-66.5, 50, 65276216269.15703
-66.5, 55, 73226338483.49808
-66.5, 60, 82252780324.25479
-66.5, 65, 90877062918.68457
-66.5, 70, 98773012184.71474
-66.5, 75, 106259488327.5901
-66.5, 80, 113126601264.26173
-66.5, 85, 119136961753.51485
-66.5, 90, 123961259917.75813
-66.5, 95, 127066303077.4989
-66.5, 100, 128582260397.275
-66.5, 105, 128655629723.2692
-66.5, 110, 126885834133.47897
-66.5, 115, 123139815588.02496
-66.5, 120, 117600526899.75456
-66.5, 125, 110552941847.31764
-66.5, 130, 102501319283.57462
-66.5, 135, 93762370835.96913
-66.5, 140, 84771559070.36197
-66.5, 145, 76322466092.53033
-66.5, 150, 68823301236.58223
-66.5, 155, 62603403255.25668
-66.5, 160, 57444720598.72227
-66.5, 165, 52816907406.41849
-66.5, 170, 48935002061.03668
-66.5, 175, 45869426362.10061
-66.5, 180, 43501298933.70732
-64.0, -180, 42032334466.21593
-64.0, -175, 40105013373.86003
-64.0, -170, 38762170970.29273
-64.0, -165, 37965242064.51026
-64.0, -160, 37617343594.34364
-64.0, -155, 37649374884.23471
-64.0, -150, 38056606419.674934
-64.0, -145, 38838270341.32864
-64.0, -140, 39990293023.0343
-64.0, -135, 41519626319.14049
-64.0, -130, 43452157789.38666
-64.0, -125, 45805656891.0991
-64.0, -120, 48637864778.25674
-64.0, -115, 51972470349.92536
-64.0, -110, 55779755195.16838
-64.0, -105, 60159228051.842834
-64.0, -100, 65041366730.013435
-64.0, -95, 69703327183.84093
-64.0, -90, 74446538111.5823
-64.0, -85, 80627472957.8616
-64.0, -80, 87717091227.05154
-64.0, -75, 94678217271.91286
-64.0, -70, 101443713414.7852
-64.0, -65, 107563591571.24597
-64.0, -60, 113211373534.7293
-64.0, -55, 118542593477.5485
-64.0, -50, 123453360875.23029
-64.0, -45, 128298578041.43907
-64.0, -40, 131330910659.4996
-64.0, -35, 131043024442.08075
-64.0, -30, 128842041679.37604
-64.0, -25, 125462526434.07933
-64.0, -20, 119868712248.88144
-64.0, -15, 112180539637.02252
-64.0, -10, 103400422075.83414
-64.0, -5, 93168564123.7146
-64.0, 0, 81750393139.57086
-64.0, 5, 71833005254.37025
-64.0, 10, 64173466216.424904
-64.0, 15, 58140232194.197395
-64.0, 20, 55167421290.200035
-64.0, 25, 54382393706.87214
-64.0, 30, 54321466868.03054
-64.0, 35, 54645003826.13632
-64.0, 40, 55536140798.49265
-64.0, 45, 57508920879.733635
-64.0, 50, 61924954084.39812
-64.0, 55, 69764048312.12784
-64.0, 60, 79653841892.29811
-64.0, 65, 89591998354.6799
-64.0, 70, 98798466082.47351
-64.0, 75, 107550505249.70523
-64.0, 80, 115623797931.41121
-64.0, 85, 122480276763.8213
-64.0, 90, 128058248040.93591
-64.0, 95, 132202103579.28717
-64.0, 100, 134616390152.65897
-64.0, 105, 135055027076.71262
-64.0, 110, 133417635178.50983
-64.0, 115, 129775785205.00374
-64.0, 120, 123881155044.27187
-64.0, 125, 115909351686.33817
-64.0, 130, 106812420497.67859
-64.0, 135, 96984402159.78477
-64.0, 140, 86816201372.64427
-64.0, 145, 77434379463.09239
-64.0, 150, 69345765074.36087
-64.0, 155, 62731098239.4
-64.0, 160, 57188911806.29152
-64.0, 165, 52170651643.32455
-64.0, 170, 47920827951.09638
-64.0, 175, 44602332139.63897
-64.0, 180, 42032334466.21593
-61.5, -180, 41551090934.40034
-61.5, -175, 39542337038.1648
-61.5, -170, 38104218265.2447
-61.5, -165, 37183507168.17744
-61.5, -160, 36672407831.547676
-61.5, -155, 36497376092.5442
-61.5, -150, 36647250226.066956
-61.5, -145, 37119838338.24442
-61.5, -140, 37913102575.29414
-61.5, -135, 39035131685.73186
-61.5, -130, 40520377055.54342
-61.5, -125, 42357280517.31951
-61.5, -120, 44722944530.856964
-61.5, -115, 47667841412.06192
-61.5, -110, 50912615709.04801
-61.5, -105, 54594877748.89411
-61.5, -100, 58898528295.742256
-61.5, -95, 63181218483.21563
-61.5, -90, 67671308229.39296
-61.5, -85, 73059333148.48886
-61.5, -80, 79289413045.98834
-61.5, -75, 85967400614.13028
-61.5, -70, 93113423133.21805
-61.5, -65, 100781901925.4048
-61.5, -60, 108335711357.39777
-61.5, -55, 114603491615.4512
